"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/02/2020","AQS","150010005","1","3","ppb","4","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/03/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/04/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/05/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/06/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/07/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/08/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/09/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/10/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/11/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/12/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/13/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/14/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/15/2020","AQS","150010005","1","0","ppb","0","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/16/2020","AQS","150010005","1","2","ppb","3","Hawaii Volcanoes NP - Kilauea Visitors Center","23","96.0000","42401","Sulfur dioxide","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
